model,noise,intensity,scenario,population,accuracy,precision_macro,recall_macro,f1_macro,rows
SVM,uniform,0.2,uniform-20,intact,0.9162487284745467,0.6056673113143888,0.35499619129177007,0.38646678443161353,2597274
SVM,uniform,0.2,uniform-20,corrupted,0.8295108729132015,0.14550395499817845,0.06684061391008594,0.06103521872831595,649320
Random Forest,uniform,0.2,uniform-20,intact,0.8310443950079969,0.2935420233448048,0.10096055578432066,0.1040245868037561,2597274
Random Forest,uniform,0.2,uniform-20,corrupted,0.8307044292490605,0.10538032842765824,0.06969696969696969,0.06621592923813995,649320
Softmax,uniform,0.2,uniform-20,intact,0.8889239256235576,0.46841935654237066,0.424872624246911,0.3871506652974038,2597274
Softmax,uniform,0.2,uniform-20,corrupted,0.5041335551038009,0.2210264161345768,0.2984429223789539,0.19985751073246746,649320
XGBoost,uniform,0.2,uniform-20,intact,0.845440257747161,0.45639220760757776,0.23921562126164833,0.2612440547998448,2597274
XGBoost,uniform,0.2,uniform-20,corrupted,0.8008408796895213,0.23691740404124026,0.12650081800983454,0.09039265437451402,649320
KNN,uniform,0.3,uniform-30,intact,0.9003533366774912,0.7050004175879419,0.7147184859417778,0.6135169061362887,2272620
KNN,uniform,0.3,uniform-30,corrupted,0.7937983970824684,0.287890580642043,0.27818114744373046,0.17868824373356426,973974
SVM,uniform,0.3,uniform-30,intact,0.9162301660638382,0.6100451890676315,0.3553041037162181,0.38708470370395687,2272620
SVM,uniform,0.3,uniform-30,corrupted,0.8296812851267077,0.1595670529105198,0.06700570767239972,0.061356637694501844,973974
Random Forest,uniform,0.3,uniform-30,intact,0.8309532609939189,0.2945165628506926,0.09863004366989639,0.10251654822135586,2272620
Random Forest,uniform,0.3,uniform-30,corrupted,0.8308958966050428,0.10872640368088375,0.06941580756013746,0.06573800465591106,973974
Softmax,uniform,0.3,uniform-30,intact,0.8886901461748995,0.47160892176886615,0.4238510410091928,0.3877594606903225,2272620
Softmax,uniform,0.3,uniform-30,corrupted,0.5044970399620524,0.2254511856173302,0.27183904473349507,0.19944061207586125,973974
XGBoost,uniform,0.3,uniform-30,intact,0.8453353398280399,0.4575698170581236,0.23881744801904423,0.2629790737447084,2272620
XGBoost,uniform,0.3,uniform-30,corrupted,0.8010860659524792,0.2588125280809922,0.13130458984221596,0.0909468481739588,973974
KNN,multiplicative,0.1,multiplicative-10,intact,0.9003587011466048,0.7008852951560413,0.7077755027465193,0.6092535206856555,2921931
KNN,multiplicative,0.1,multiplicative-10,corrupted,0.8368985686696667,0.4312887953092332,0.35514058285426364,0.3040244690769576,324663
SVM,multiplicative,0.1,multiplicative-10,intact,0.9162601717836595,0.611203174658214,0.3552087685537751,0.3866531144308155,2921931
SVM,multiplicative,0.1,multiplicative-10,corrupted,0.8336367248500753,0.39860888606614314,0.1854866390155901,0.168648660909307,324663
Random Forest,multiplicative,0.1,multiplicative-10,intact,0.8309720523859051,0.2929719420974008,0.09941750417205039,0.10264722604791847,2921931
Random Forest,multiplicative,0.1,multiplicative-10,corrupted,0.8313635985622014,0.3340918471603121,0.09605109268976147,0.09659199418440688,324663
Softmax,multiplicative,0.1,multiplicative-10,intact,0.8888200987634547,0.4731680601800084,0.4297484907330085,0.38873184692691737,2921931
Softmax,multiplicative,0.1,multiplicative-10,corrupted,0.8006240316882429,0.3285931950189908,0.3048927642825384,0.28208653864655164,324663
XGBoost,multiplicative,0.1,multiplicative-10,intact,0.8453584290662579,0.4583195656882487,0.24198826095226106,0.26444022065103845,2921931
XGBoost,multiplicative,0.1,multiplicative-10,corrupted,0.830233195652107,0.4842976945331829,0.14662183795355618,0.14219923385609587,324663
KNN,multiplicative,0.2,multiplicative-20,intact,0.9001826530431521,0.7022398732050842,0.701554000278513,0.6075636660809759,2597274
KNN,multiplicative,0.2,multiplicative-20,corrupted,0.8356927246966057,0.428908183271103,0.33424107457057356,0.2998611306535999,649320
SVM,multiplicative,0.2,multiplicative-20,intact,0.9163111015626384,0.6136789697668283,0.3549321963134224,0.3863827528717193,2597274
SVM,multiplicative,0.2,multiplicative-20,corrupted,0.8326356804041151,0.37610599189703287,0.18208232182818207,0.16665201948932085,649320
Random Forest,multiplicative,0.2,multiplicative-20,intact,0.8311094632295245,0.29196443536733896,0.09806908504684192,0.10149146529454893,2597274
Random Forest,multiplicative,0.2,multiplicative-20,corrupted,0.8305334811803117,0.4254220407485044,0.10253334243746288,0.1044148159501567,649320
Softmax,multiplicative,0.2,multiplicative-20,intact,0.8890887137822193,0.46945144838106934,0.4248865849585212,0.38670913619593217,2597274
Softmax,multiplicative,0.2,multiplicative-20,corrupted,0.8000739234891887,0.335941843902508,0.3320488678424109,0.28164240912737426,649320
XGBoost,multiplicative,0.2,multiplicative-20,intact,0.845483379882138,0.4569744210493457,0.23871180466154626,0.26092278240144673,2597274
XGBoost,multiplicative,0.2,multiplicative-20,corrupted,0.8296479393827388,0.4946700128319634,0.14972237167821867,0.14641057713828534,649320
KNN,multiplicative,0.3,multiplicative-30,intact,0.9000866840914891,0.7019106163472542,0.725010878310283,0.6161636274192505,2272620
KNN,multiplicative,0.3,multiplicative-30,corrupted,0.8364330053985014,0.4285239644706056,0.3316289974501687,0.2979418112520793,973974
SVM,multiplicative,0.3,multiplicative-30,intact,0.9161360016192764,0.6059401479772895,0.35513201468760874,0.38629899718991023,2272620
SVM,multiplicative,0.3,multiplicative-30,corrupted,0.8332203939735557,0.380812245497023,0.18325736820616065,0.1663209446280295,973974
Random Forest,multiplicative,0.3,multiplicative-30,intact,0.8309880226346683,0.29434865664651305,0.10025188218596129,0.10349043362053995,2272620
Random Forest,multiplicative,0.3,multiplicative-30,corrupted,0.8308774156188974,0.4805416245576854,0.1010847872533597,0.10030177204431134,973974
Softmax,multiplicative,0.3,multiplicative-30,intact,0.8887737501210057,0.4724983841229196,0.4317234985029683,0.39071516697775066,2272620
Softmax,multiplicative,0.3,multiplicative-30,corrupted,0.8002965171554888,0.31863775293131696,0.32465179167379205,0.2806731992530137,973974
XGBoost,multiplicative,0.3,multiplicative-30,intact,0.8453899024033934,0.4620789700972241,0.24573634489371196,0.26858139501345507,2272620
XGBoost,multiplicative,0.3,multiplicative-30,corrupted,0.8298681484310669,0.4903931040641225,0.15399899725465208,0.14391696566400355,973974
